percent,exact,mean,std
5,4896,4968.36,164.538
10,9732,9845.92,262.02
15,14558,14665.3,433.696
20,19353,19320.8,740.164
25,24159,24128.2,1014.75
30,28951,28967.4,1145.3
35,33752,33658.1,1227.4
40,38518,38568.2,1302.91
45,43290,43055.3,1265.04
50,48067,47829.2,1201.79
55,52831,52502.6,1637.08
60,57574,57115.7,1592
65,62320,62092.8,1897.72
70,67096,66979.2,2144.82
75,71865,71664.2,2467.04
80,76608,76477.9,2188.03
85,81344,81044.4,2300.88
90,86087,85912.2,2388.29
95,90809,90638.1,2488.23
100,95541,95518.3,2512.62
